Unnamed: 0,번호,제목,저자,출판사,출판일
,57,A transformer-type displacement digitizer with error compensation,"Kosinskii, A. V.; Rezyan, A. D.",Springer Science + Business Media,2007
,58,Term Transformers: A New Approach to State,"Morris, J.M.; Bunkenburg, A.; Tyrrell, M.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2009
,59,A Transformer-Coupling Current-Reuse SiGe HBT Power Amplifier for 77-GHz Automotive Radar,"Giammello, V.; Ragonese, E.; Palmisano, G.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2012
,60,Losses in transformer-like coils wound from a very fine filament Nb-Ti superconductor,L Cesnak; S TakAcs; F GOmOry; I HlAsnik,Elsevier,1988
,61,Application of Transformer-Less UPFC for Interconnecting Two Synchronous AC Grids With Large Phase Difference,"Liu,  Y.; Yang,  S.; Wang,  X.; Gunasekaran,  D.; Karki,  U.; Peng,  F. Z.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,62,EchoBERT: A Transformer-Based Approach for Behavior Detection in Echograms,"Maloy, Hakon",IEEE,2020
,63,Wide-band rotary transformer&amp;#8212;Unbalanced current analysis,"Allen, C.W.; Krauss, H.L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,1977
,64,Tribolium castaneum Transformer-2 regulates sex determination and development in both males and females,"Shukla, J. N.; Palli, S. R.","Elsevier Science B.V., Amsterdam.",2013
,65,A Sparse Transformer-Based Approach for Image Captioning,"Lei, Zhou; Zhou, Congcong; Chen, Shengbo; Huang, Yiyong; Liu, Xianrui",IEEE,2020
,66,Inductors and Transformers: Enabling the Gigahertz Silicon IC Revolution,"Niknejad, A.",Institute of Electrical and Electronics Engineers,2014
,67,High boost transformer‐based Z‐source inverter under continuous input current profile,"Kojabadi, Hossein Madadi; Ebrahimi, Reza; Esmaeilifard, Hossein; Chang, Liuchen; Chen, Zhe; Blaabjerg, Frede",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2019
,68,A Novel Transformer-less Interleaved Four-Phase Step-Down DC Converter With Low Switch Voltage Stress and Automatic Uniform Current-Sharing Characteristics,"Chuang, C.; Pan, C.; Cheng, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,69,A Compact Transformer-Based Fractional-N ADPLL in 10-nm FinFET CMOS,"Li, Chao-Chieh; Yuan, Min-Shueh; Liao, Chia-Chun; Chang, Chih-Hsien; Lin, Yu-Tso; Tsai, Tsung-Hsien; Huang, Tien-Chien; Liao, Hsien-Yuan; Lu, Chung-Ting; Kuo, Hung-Yi; Ximenes, Augusto Ronchini; Staszewski, Robert Bogdan",IEEE,2021
,70,Complex Impedance Transformers: Their Use in Designing Various Ultracompact and Wideband Power Dividers,"Ahn, Hee-Ran; Tentzeris, Manos M.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2020
,71,Variable Frequency Transformer-Concept and Electromagnetic Design Evaluation,"Merkhouf, A.; Doyon, P.; Upadhyay, S.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2008
,72,High boost transformer-based Z-source inverter under continuous input current profile,"Kojabadi, Hossein Madadi; Ebrahimi, Reza; Esmaeilifard, Hossein; Chang, Liuchen; Chen, Zhe; Blaabjerg, Frede",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2019
,73,Achromatic Fourier Transformer: Novel Optical Architectures,"Lancis, J.",SPIE INTERNATIONAL SOCIETY FOR OPTICAL,1993
,74,Omega-3: The Transformers: Insight into the different types of polyunsaturated fatty acids and the health benefits these functional ingredients provide,"Pizzey, L.",AP FOOD INDUSTRY PUBLICATIONS PTE LTD,2008
,75,High Gain Transformer-Less Double-Duty-Triple-Mode DC/DC Converter for DC Microgrid,"Sagar Bhaskar, Mahajan",IEEE,2019
,76,A Large-Swing Transformer-Boosted Serial Link Transmitter With Formula Not Shown Swing,"Kim, J.; Hatamkhani, H.; Yang, C.-K. K.",IEEE; 1998,2007
,77,30 GHz transformer-coupled and reused injection-locked VCO/divider in 0.13 &mu;m CMOS process,"Liao, F.-R.; Lu, S.-S.",IEE,2008
,78,Single-phase common-grounded transformer-less grid-tied inverter for PV application,"Vosoughi, Naser; Hosseini, Seyed Hossein; Sabahi, Mehran",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2020
,79,Study of transformer-based power management system and its performance optimization for microbial fuel cells,"Yang, F.; Zhang, D.; Shimotori, T.; Wang, K. C.; Huang, Y.","Elsevier Science B.V., Amsterdam.",2012
,80,CONCEPT OF TRANSFORMER-FEEDBACK DEGENERATION OF LOW-NOISE AMPLIFIERS,"Tasic, A.; Serdijn, W. A.; Long, J. R.",IEEE; 1999,2003
,81,Precise Ratio Transformer: A New Concept of the Magnetic System,"Lee, R. D.;Kim, H. J.;Semenov, Y. P.",IEEE,2002
,82,Phase shifting transformers. Discussion of specific characteristics,"Seitlinger, W.",International Conference on Large High Voltage Electric Systems,1998
,83,BERT-Caps: A Transformer-Based Capsule Network for Tweet Act Classification,"Saha, Tulika; Ramesh Jayashree, Srivatsa; Saha, Sriparna; Bhattacharyya, Pushpak",IEEE,2020
,84,Low-Phase-Noise 54-GHz Transformer-Coupled Quadrature VCO and 76-/90-GHz VCOs in 65-nm CMOS,"Tianzuo, X.; Guo, S.; Ping, G.; Daquan, H.; Yanli, F.; Morgan, M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,85,A new transformer‐less step‐up DC–DC converter with high voltage gain and reduced voltage stress on switched‐capacitors and power switches for renewable energy source applications,"Abbasi, Maysam; Nazari, Yousef; Abbasi, Ehsan; Li, Li",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2021
,86,The Smart Transformer: Impact on the Electric Grid and Technology Challenges,"Liserre, M.; Buticchi, G.; Andresen, M.; De Carne, G.; Costa, L.; Zou, Z.",IEEE,2016
,87,250 kW Transformer-less voltage dip compensator,"Visser, A. J.;Mouton, H. d. T.",IEEE,1999
,88,PepFormer: End-to-End Transformer-Based Siamese Network to Predict and Enhance Peptide Detectability Based on Sequence Only,"Cheng, Hao; Rao, Bing; Liu, Lei; Cui, Lizhen; Xiao, Guobao; Su, Ran; Wei, Leyi",ACS AMERICAN CHEMICAL SOCIETY,2021
,89,A W-Band Transformer-Based Power Amplifier with Anti-Pair Capacitors in 0.13-μm SiGe BiCMOS,"Li, Huanbo; Chen, Jixin; Hou, Debin; Yan, Pinpin; Hong, Wei",Springer Nature,2019
,90,Autoregulation of transformer-2 pre-mRNA splicing,"Chandler, D.; Mattox, W.",Genetics Society of America,1997
,91,A Soft-Switching Transformer-Less Step-Down Converter Based on Resonant Current Balance Module,"Zhang, Xiangjun; Cai, Hongye; Guan, Yueshi; Han, Shouheng; Wang, Yijie; Costa, Marco A. Dalla; Alonso, Jose Marcos; Xu, Dianguo",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,92,Phase Shifting Transformers: Control and Protection Philosophy,"Pawar,  Dinesh",S T CHARY MA,2015
,93,Dynamic gap transformations: Are banks asset - transformers or brokers? or both?,"Bharati, R.; Nanisetty, P.; So, J.","Elsevier Science B.V., Amsterdam.",2006
,94,100 GHz transformer-coupled quadrature oscillator,"Lin, K. T.; Chen, H. K.; Lu, S. S.",IET,2013
,95,A Hybrid Transformer-Based CMOS Duplexer With a Single-Ended Notch-Filtered LNA for Highly Integrated Tunable RF Front-Ends,"Kwon, K.; Kim, S.; Son, K. Y.",THE INSTITUTE OF ELECTRICAL ENGINEERS,2018
,96,The underwater transformer: Ex-NASA engineers built a robot sub that transforms into a skilled humanoid,"Ackerman, Evan",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,97,"Ceratitis capitata transformer-2 gene is required to establish and maintain the autoregulation of Cctra, the master gene for female sex determination","Salvemini, M.; Robertson, M.; Aronson, B.; Atkinson, P.; Polito, L.C.; Saccone, G.",Univeristy of the Basque Country Press; 1999,2009
,98,A New Transformer-Less Common Grounded Three-Level Grid-Tied Inverter With Voltage Boosting Capability,"Kurdkandi, Naser Vosoughi; Marangalu, Milad Ghavipanjeh; Vala, Sama Salehi; Mohseni, Parham; Gharehkoushan, Amirreza Zarrin; Hosseini, Seyed Hossein; Sabahi, Mehran",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,99,Absorption heat transformers: Sensitivity study to answer existing discrepancies,"Wakim, Michel; Rivera-Tinoco, Rodrigo","Elsevier Science B.V., Amsterdam.",2019
,100,A Wideband Transformer-Coupled CMOS Power Amplifier for  Formula Not Shown -Band Multifunction Chips,"Ku, B. H.; Baek, S. H.; Hong, S.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2011
,1,Pad Mounted Transformers: Protection and Insulation,"Zamora, I.; Buigues, G.; Mazon, A.J.; Valverde, V.",Wroclaw; Wroclaw University of Technology,2006
,2,Power Electronic Transformer-Based Railway Traction Systems: Challenges and Opportunities,"Feng, J.; Chu, W. Q.; Zhang, Z.; Zhu, Z. Q.",IEEE,2017
,3,Microprocessor-controlled current transformer-based power supply,"Khuzyashev, R. G.; Kuz’min, I. L.",SPRINGER SCIENCE + BUSINESS MEDIA,2009
,4,A 1.5-V transformer-based ultra-wideband LNA chip design,"Huang, J. F.; Shie, P. J.; Liu, R. Y.","John Wiley & Sons, Ltd",2009
,5,Presented a transformer‐less buck‐boost DC–DC structure with vast voltage range,"Shayeghi, Hossein; Pourjafar, Saeed; Sedaghati, Farzad",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2022
,6,Indo Tech Transformers: Going Places,unknown,S T CHARY MA,2002
,7,Hierarchical Graph Transformer-Based Deep Learning Model for Large-Scale Multi-Label Text Classification,"Gong, Jibing",IEEE,2020
,8,Hybrid Three-Phase Transformer-Based Multilevel Inverter With Reduced Component Count,"Salem, Ahmed; Van Khang, Huynh; Jiya, Immanuel N.; Robbersmyr, Kjell G.",IEEE,2022
,9,Energy storage transformers-MAPPS test results,D.E. Johnson ; J.P. Barber ; H.L. Laquer,Published by the Institute of Electrical and Electronics Engineers for the Magnetics Group,1989
,10,A 200–500-W transformer-type inductive light source operated at a frequency of 150–400 kHz,"Popov, O. A.; Chandler, R. T.",Springer Science + Business Media,2007
,11,A Medium-Frequency Transformer-Based Wind Energy Conversion System Used for Current-Source Converter-Based Offshore Wind Farm,"Wei,  Q.; Wu,  B.; Xu,  D.; Zargari,  N. R.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,12,A Novel Transformer-less Adaptable Voltage Quadrupler DC Converter with Low Switch Voltage Stress,"Pan, C. T.; Chuang, C.; Chu, C.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,13,High Frequency Transformer-assisted Passive Soft Switching PWM DC-DC Converter with Energy Recovery for Compact Auxiliary Power Supply in Rolling Stock Transportation,"Inaba, C. Y.; Konishi, Y.; Nakaoka, M.",ECLIPSE GROUP LTD,2003
,14,A Compact Transformer-Combined Polar/Quadrature Reconfigurable Digital Power Amplifier in 28-nm Logic LP CMOS,unknown,IEEE; 1998,2019
,15,Translators and Transformers: International Inspiration and Exchange in Social Movements,"Roggeband, C.",Taylor & Francis,2007
,16,A 20-Gb/s Transformer-Based Current-Mode Optical Receiver in 0.13-  Formula Not Shown  CMOS,"Han, J.; Choi, B.; Seo, M.; Yun, J.; Lee, D.; Kim, T.; Eo, Y.; Park, S. M.",IEEE,2010
,17,"A marked transformation. Although the role a transformer plays in electrical circuits is something that is never likely to change, these specialised products certainly are","Marr, S.",REED BUSINESS PUBLISHING LTD,2012
,18,A Divide-by-Four Transformer-Coupled Regenerative Frequency Divider With Quadrature Outputs,"Lin, Y. S.; Wu, C. H.; Lu, C. L.; Wang, Y. H.",THE INSTITUTE OF ELECTRICAL ENGINEERS,2014
,19,Low-voltage/low-power 7-GHZ transformer-coupled current-reused CMOS QVCO with wide tuning range,"Tseng, Y. R.; Huang, T. H.; Wu, S. H.","John Wiley & Sons, Ltd",2010
,20,A New Transformer-Less Five-Level Grid-Tied Inverter for Photovoltaic Applications,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,21,3F-4 Piezoelectric Transformers-State of the Art and Development Trends,"Hemsel, T.; Littmann, W.; Wallaschek, J.",IEEE; 1998,2002
,22,A Single-Phase Transformer-Based Cascaded Asymmetric Multilevel Inverter With Balanced Power Distribution,unknown,IEEE,2019
,23,Effect of Transformer's Parameters on Harmonic Generation,"Abdi, B.; Ranjbar, A.H.; Farabi, V.; Yazdanparast, M.S.","Elsevier Science B.V., Amsterdam",2011
,24,STABILITY OF TRANSFORMER'S WHOLE LOW VOLTAGE WINDING,"Liang, Z.; Tang, R.; Wang, C.; Hu, J.","Shenyang University of Technology,",2003
,25,The first transformers: A Swiss automata collection at A La Vieille Russie,"Pin, B.",BRANT PUBLICATIONS,2011
,26,Gunnar Olsson's Transformers: The Art and Politics of Rendering the Co-Relation of Society and Space in Monochrome and Technicolor,"Doel, M. A.",BLACKWELL,2003
,27,Quasi-resonant DC-Link transformer-less structures for grid-connected PV systems,"Fazlali, Behnam; Adib, Ehsan","Elsevier Science B.V., Amsterdam.",2018
,28,Medium-Voltage Solid-State Transformer: Technology for a Smarter and Resilient Grid,"Huang, A.",IEEE,2016
,29,Planar Pulse Transformers: Analysis and Design,"Kelly, S.; Hurley, W. G.",Napier University,1998
,30,Proposed on Transformer-Less Dynamic Voltage Restorer,"Rosli,  E. D.; Mustapa,  R. F. bin; Hidayat,  M. N.",Trans Tech Publications Ltd.,2015
,31,62–92 GHz low‐noise transformer‐coupled LNA in 90‐nm CMOS,"Huang, C.‐Y.; Liu, J.Y.‐C.",IET,2018
,32,An On-Chip Transformer-Based Self-Startup Hybrid SIDITO Converter for Thermoelectric Energy Harvesting,"Qian, Y.; Lu, D.; He, J.; Hong, Z.",IEEE,2018
,33,Capacitive Voltage Transformer: Transient Overreach Concerns and Solutions for Distance Relaying,"Hou, D.; Roberts, J.",IEEE,1995
,34,"Orme the transformer: We talk to Steve Orme, finance chief of National Australia Bank in the UK, about his plan for transforming the company's finance function",unknown,ASSOCIATION OF CHARTERED CERTIFIED ACCOUNTANTS,2010
,35,Mitigation of transformer-energizing inrush current using grid-connected photovoltaic system,"Ahmed, Abdelsalam A.; Abdelsalam, Hany A.","Elsevier Science B.V., Amsterdam.",2016
,36,Development of Transformer-Less Inverter System for Photovoltaic Application,"Chavan, Shamkumar B.; Kshirsagar, Umesh A.; Chavan, Mahesh S.",Springer,2018
,37,A Single-Phase Transformer-Less Grid-Tied Inverter Based on Switched Capacitor for PV Application,"Meng, Qing; Liu, Tianye; Su, Chengxin; Niu, Huifang; Hou, Zhuo; Ghadimi, Noradin",Springer Nature,2019
,38,An X-Band Transformer-Coupled Varactor-Less Quadrature Current-Controlled Oscillator in 0.18  Formula Not Shown  SiGe BiCMOS Technology,"Geng, X.; Dai, F. F.",IEEE; 1998,2010
,39,A CMOS Transformer-Based Current Reused SSBM and QVCO for UWB Application,"Li, W.; Cheng, K.-K.M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,40,Power electronic transformers: A review,"Battal, Funda; Balci, Selami; Sefa, Ibrahim","Elsevier Science B.V., Amsterdam.",2021
,41,Autoregulation of transformer-2 alternative splicing is necessary for normal male fertility in,"McGuffin, M. Elaine",Genetics Society of America [etc.],1998
,42,A Two-Stage Transformer-Based Approach for Variable-Length Abstractive Summarization,"Su, Ming-Hsiang; Wu, Chung-Hsien; Cheng, Hao-Tse",IEEE,2020
,43,Characteristics of transformer-type superconducting fault current limiter depending on reclosing in changing the number of turns of secondary winding,"Choi, S. G.; Choi, H. S.; Cho, Y. S.; Park, H. M.; Jung, B. I.; Ha, K. H.","Elsevier Science B.V., Amsterdam.",2011
,44,Model of Transformer-Type Discharge,"Kulumbaev, E. B.",PLENUM PUBLISHING CORPORATION,1997
,45,A Molecular Transformer: A π‐Conjugated Macrocycle as an Adaptable Host,"Wang, Junting; Ju, Yang‐Yang; Low, Kam‐Hung; Tan, Yuan‐Zhi; Liu, Junzhi",John Wiley &Sons Ltd,2021
,46,A Low-Noise Transformer-Based 1.7GHz CMOS VCO,unknown,IEEE INC,2002
,47,Transfverter: Imbuing Transformer-Like Properties in an Interlink Converter for Robust Control of a Hybrid AC&#x2013;DC Microgrid,"Gu, Yunjie",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,48,Effects of Transformer's Turn Ratio Mismatch Towards the Performance of Dual Active Bridge Converter,"Ghani, Suliana Ab; Daniyal, Hamdan; Ramlan, Nur Huda; Tiong, Meng Chung",Springer,2018
,49,A 7.9-GHz Transformer-Feedback Quadrature Oscillator With a Noise-Shifting Coupling Network,"Jiang, B.; Luong, H. C.",IEEE; 1998,2017
,50,Siamese Earthquake Transformer: A Pair‐Input Deep‐Learning Model for Earthquake Detection and Phase Picking on a Seismic Array,"Xiao, Zhuowei; Wang, Jian; Liu, Chang; Li, Juan; Zhao, Liang; Yao, Zhenxing","John Wiley & Sons, Ltd.",2021
,51,Energy-efficient distribution transformers: a hidden opportunity for large scale energy savings,"Lebot, B.; De Keulenaer, H.; Hurens, P.","Stockholm:; ECEEE Secretariat,",2003
,52,Improving Current Transformer-Based Energy Extraction From AC Power Lines by Manipulating Magnetic Field,"Zhuang, Yuan; Xu, Chen; Song, Chaoyun; Chen, Anqi; Lee, Wei; Huang, Yi; Zhou, Jiafeng",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,53,A New Transformer-Based Non-Isolated Topology Optimized for VRM Application,"Yang, Z.; Ye, S.; Liu, Y.","Piscataway, N.J.:; Institute of Electrical and Electronics Engineers,",2005
,54,Superheroes and Transformers: Rethinking TFA's leadership models,"Trujillo, T.; Scott, J.",PHI DELTA KAPPAN,2014
,55,A Novel Transformer-less Interleaved Four-Phase Step-Down DC Converter With Low Switch Voltage Stress and Automatic Uniform Current-Sharing Characteristics,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,56,A Balance Transformer-Integrated RPFC for Railway Power System PQ Improvement With Low-Design Capacity,"Hu, S.; Li, S.; Li, Y.; Krause, O.; Xie, B.; An, B.; Wang, P.; Zhang, Z.; Luo, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,57,Effects of Transformer-Oil Temperature on Amplitude and Peak Frequency of Partial Discharge Acoustic Signals,"Shanker, T. B.; Nagamani, H. N.; Antony, D.; Punekar, G. S.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,58,A Five-Level Transformer-Less Inverter With Self-Voltage Balancing and Boosting Ability,"Kumari, Sangeeta; Verma, Arun; Sandeep, N.; Yaragatti, Udaykumar; Pota, Hemanshu",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,59,The psychological transformer: Kerry Chamberlain talks to Lance Workman about the academic evolution of his work,unknown,BRITISH PSYCHOLOGICAL SOC,2011
,60,A 40mV Transformer-Reuse Self-Startup Boost Converter with MPPT Control for Thermoelectric Energy Harvesting,"Im, J.-P.; Wang, S.-W.; Lee, K.-H.; Woo, Y.-J.; Yuk, Y.-S.; Kong, T.-H.; Hong, S.-W.; Ryu, S.-T.",IEEE INC,2012
,61,Sensitivity of Transformer's Hottest-Spot and Equivalent Aging to Selected Parameters,"Peterchuck, D.; Pahwa, A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2002
,62,Influence of transformer-voltage adjustment on temperature regulation in high-temperature vacuum furnaces,"Mityakov, F. E.; Goryachikh, E. V.",Springer Science + Business Media,2013
,63,Precise Ratio Transformer: A New Concept of the Magnetic System,"Lee, R. D.; Kim, H. J.; Semenov, Y. P.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2003
,64,Determining power transformers' sequence of service in power grids,"Fischer, M.; Tenbohlen, S.; Schafer, M.; Haug, R.",IEEE; 1999,2011
,65,The ultimate transformers: Mesenchymal stem cells,"Hooten, N.N.; Evans, M.K.",Landes Bioscience,2011
,66,A Low-Noise Transformer-Based 1.7GHz CMOS VCO,unknown,IEEE,2002
,67,A 1-V Transformer-Feedback Low-Noise Amplifier for 5-GHz Wireless LAN in 0.18-mum CMOS,"Cassan, D. J.; Long, J. R.",IEEE; 1998,2003
,68,Surface Mount Transformers: A New Packaging Approach,"McCormick, B. J.",IHS PUBLISHING GROUP,1993
,69,A novel transformer-based mm-Wave frequency doubler with enhanced output symmetry,"Zhou, C.",Springer Science + Business Media,2014
,70,"Electromagnetic voltage transformers: Still best for revenue metering, relaying",unknown,unknown,1996
,71,An Ultra-Low-Power Transformer-Feedback 60 GHz Low-Noise Amplifier in 90 nm CMOS,"Chang, P. Y.; Su, S. H.; Hsu, S. S.; Cho, W. H.; Jin, J. D.",THE INSTITUTE OF ELECTRICAL ENGINEERS,2012
,72,CAT-EDNet: Cross-Attention Transformer-Based Encoder&#x2013;Decoder Network for Salient Defect Detection of Strip Steel Surface,"Luo, Qiwu; Su, Jiaojiao; Yang, Chunhua; Gui, Weihua; Silven, Olli; Liu, Li",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,73,Investigation of Transformer-Based Solutions for the Reduction of Inrush and Phase-Hop Currents,"Dogan,  R.; Jazebi,  S.; de León,  F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,74,Smart paper transformer: new insight for enhanced catalytic efficiency and reusability of noble metal nanocatalystsElectronic supplementary information (ESI) available. See DOI: 10.1039/c9sc05287a,"Jin, Qijie; Ma, Lei; Zhou, Wan; Shen, Yuesong; Fernandez-Delgado, Olivia; Li, XiuJun",THE ROYAL SOCIETY OF CHEMISTRY,2020
,75,A Miniature Transformer-Coupled Low-Noise Preamplifier for Low Source Resistance Sensors at Low Frequency,"Liu, Fan; Li, Xing-Fei; Xia, Gan-Min",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,76,The Two-Winding Transformer: An Experimental Method to Obtain a Wide Frequency Range Equivalent Circuit,"Cogitore, B.;Keradec, J. P.;Barbaroux, J.",IEEE,1993
,77,A Chebyshev Transformer-Based Microstri-to-Groove-Gap-Waveguide Inline Transition for MMIC Packaging,"M. Perez-Escudero, Jose",IEEE,2019
,78,Variable Electrostatic Transformer: Controllable Coupling of Two Charge Qubits,"Averin, D. V.; Bruder, C.",AMERICAN PHYSICAL SOCIETY,2003
,79,Single‐phase common‐grounded transformer‐less grid‐tied inverter for PV application,"Vosoughi, Naser; Hosseini, Seyed Hossein; Sabahi, Mehran",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2020
,80,A Power Transformers' Predictive Overload System Based on a Tagaki-Sugeno-Kang Fuzzy Model,"Ippolito, L.; Siano, P.","Zagreb:; Institute of Electrical and Electronics Engineers,",2004
,81,Transformerless vs transformer-based on-line UPS,unknown,INSTITUTE OF HOSPITAL ENGINEERING,2002
,82,Digital-Controlled Single-Phase Transformer-Based Inverter for Non-Linear Load Applications,"Huang, M.-S.; Yeh, P.-Y.; Yeh, U.-T.; Huang, M.-G.",IEEE,2013
,83,Low-Frequency Inductive Transformer-type Discharge for Large-Scale Plasma Processing,"Isupov,  M.; Fedoseev,  A.; Sukhinin,  G.",BEGELL HOUSE INC. PUBLISHERS,2014
,84,A New Transformer-Based Non-Isolated Topology Optimized for VRM Application,"Yang, Z.; Ye, S.; Liu, Y.",unknown,2005
,85,Research on Calculation of Transformer's Parameters with Modern Information Technology,"Zhang, Z.; Gao, C.; Wang, Y.",Springer Science and Business Media,2011
,86,Model for a transformer-coupled toroidal plasma source (10 pages),"Rauf, S.; Balakrishna, A.; Chen, Z.; Collins, K.",AMERICAN INSTITUTE OF PHYSICS,2012
,87,Fundamentals of Integrated Transformers: From Principles to Applications,"Bevilacqua, Andrea",Institute of Electrical and Electronics Engineers,2020
,88,Rethinking Low-Light Enhancement via Transformer-GAN,"Yang, Shaoliang; Zhou, Dongming; Cao, Jinde; Guo, Yanbu",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2022
,89,Case Studies On Transformer's Abnormal Situation (Part-10),unknown,IEEMA,2021
,90,Flow electrification in transformers: sensor prototype for electrostatic hazard,"Moreau, O.; Paillat, T.; Touchard, G.","Bristol:; Institute of Physics Publishing,",2004
,91,EQUALIZING SENSITIVITY OF TRANSFORMER-COUPLED HYDROPHONES,"Parrish,  John; Palm,  Nicolau; Bell,  Lee","Curran Associates, Inc.",2015
,92,Temperature Compensation for Transformer-type Transducer,Kanoknuch Songsuwankit ; Vanchai Riewruja ; Pakorn Watanachaturaporn ; Apinai Rerkratn ; Wandee Petchmaneelumka,SCIENTIFIC PUBLISHING DIVISION MY,2021
,93,Temperature Compensation for Transformer-type Transducer (S & M 2761),"Songsuwankit, Kanoknuch; Riewruja, Vanchai; Watanachaturaporn, Pakorn; Rerkratn, Apinai; Petchmaneelumka, Wandee",SCIENTIFIC PUBLISHING DIVISION MYU,2021
,94,Analysing a power transformer's internal response to system transients using a hybrid modelling methodology,Steven D. Mitchell;Gustavo H.C. Oliveira,ELSEVIER,2015
,95,An Empirical Fourier Transform-Based Power Transformer Differential Protection,"Murugan, S. K.; Simon, S. P.; Sundareswaran, K.; Nayak, P. S.; Padhy, N. P.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,96,A Y-D Multifunction Balance Transformer-Based Power Quality Control System for Single-Phase Power Supply System,"Hu, S.; Li, Y.; Xie, B.; Chen, M.; Zhang, Z.; Luo, L.; Cao, Y.; Kubis, A.; Rehtanz, C.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,97,Regulation of human transformer2-beta by alternative splicing,"Stoilov, P.;Nayler, O.;Stamm, S.",Cold Spring Harbor Laboratory,1999
,98,Inertial Stepless Automatic Torque Transformer: Its Development Problems and Prospects,"Leonov, A.; Vorkuev, S.; Zaplatkin, A.; Smirnov, A.",Edizioni Unicopli,1995
,99,Power Electronic Traction Transformer-Low Voltage Prototype,"Dujic, D.; Chuanhong, Z.; Mester, A.; Steinke, J.K.; Weiss, M.; Lewdeni-Schmid, S.; Chaudhuri, T.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,100,Comparative Study of Transformer-Type Superconducting Fault Current Limiters Considering Magnetic Saturation of Iron Core,"Kataoka, T.; Yamaguchi, H.",IEEE; 1999,2006
,1,Transformer-Based Online Bayesian Neural Networks for Grant-Free Uplink Access in CRAN With Streaming Variational Inference,"Jha, Nilesh Kumar; Lau, Vincent K. N.",IEEE,2021
,2,Transformers: the changing phases of low-dimensional vanadium oxide bronzes,"Marley, P.; Horrocks, G.; Pelcher, K.; Banerjee, S.",Royal Society of Chemistry,2015
,3,Transformer-Coupled Loopback Test for Differential Mixed-Signal Dynamic Specifications,"Kim, B.; Abraham, J.A.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2011
,4,TRANSFORMER.,"BELASCO, DANIEL",Brandt Art,2011
,5,Transformer‐based inverter with reduced number of switches for renewable energy applications,"Gandomi, Amin Ashraf; Saeidabadi, Saeid; Hosseini, Seyed Hossein; Babaei, Ebrahim; Sabahi, Mehran",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2015
,6,"Transformer-based multilevel inverters: analysis, design and implementation","Salehahari, Shirin; Babaei, Ebrahim; Hosseini, Seyed Hossein; Ajami, Ali",THE INSTITUTION OF ENGINEERING AND TECHNOLOGY,2019
,7,Transformer-Based Neural Network for Answer Selection in Question Answering,unknown,IEEE,2019
,8,Transformer-Less Series Reactive/Harmonic Compensation of Line-Commutated HVDC for Offshore Wind Power Integration,"Jafar, M.; Molinas, M.; Isobe, T.; Shimada, R.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
